,Unnamed: 0,date,away_team,home_team,teams,Aaron Smith,Andy Nagy,Ashley Moyer-Gleich,Ben Taylor,Bennie Adams,Bill Kennedy,Bill Spooner,Brandon Adair,Brent Barnaky,Brett Nansel,Brian Forte,CJ Washington,Courtney Kirkland,Curtis Blair,Danny Crawford,David Guthrie,David Jones,Dedric Taylor,Derek Richardson,Derrick Collins,Derrick Stafford,Ed Malloy,Eli Roe,Eric Dalen,Eric Lewis,Evan Scott,Gary Zielinski,Gediminas Petraitis,Haywoode Workman,JB DeRosa,JT Orr,Jacyn Goble,James Capers,James Williams,Jason Goldenberg,Jason Phillips,Jenna Schroeder,John Butler,John Conley,John Goble,Jonathan Sterling,Josh Tiven,Justin Van Duyne,Kane Fitzgerald,Karl Lane,Ken Mauer,Kevin Cutler,Kevin Scott,Lauren Holtkamp,Leon Wood,Leroy Richardson,Marat Kogut,Marc Davis,Mark Ayotte,Mark Lindsay,Matt Boland,Matt Myers,Michael Smith,Mike Callahan,Mitchell Ervin,Monty McCutchen,Mousa Dagher,Natalie Sago,Nate Green,Nick Buchert,Pat Fraher,Phenizee Ransom,Randy Richardson,Ray Acosta,Rodney Mott,Ron Garretson,Scott Foster,Scott Twardoski,Scott Wall,Sean Corbin,Sean Wright,Simone Jelks,Steve Anderson,Suyash Mehta,Tom Washington,Tony Brothers,Tony Brown,Tre Maddox,Tyler Ford,Vladimir Voyard-Tadal,Zach Zarba,Team_x,b2b_home,threein4_home,fourin5_home,rest2_home,rest3_plus_home,Team_y,b2b_away,threein4_away,fourin5_away,rest2_away,rest3_plus_away
2376,2376,2017-10-20,Cleveland,Milwaukee,Cleveland @ Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milwaukee,0,0,0,0,0,Cleveland,0,0,0,1,0
2377,2377,2017-10-20,Detroit,Washington,Detroit @ Washington,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,Washington,0,0,0,0,0,Detroit,0,0,0,0,0
2378,2378,2017-10-20,Golden State,New Orleans,Golden State @ New Orleans,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Orleans,0,0,0,0,0,Golden State,0,0,0,1,0
2379,2379,2017-10-20,L.A. Lakers,Phoenix,L.A. Lakers @ Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Phoenix,0,0,0,0,0,L.A. Lakers,1,0,0,0,0
2380,2380,2017-10-20,Orlando,Brooklyn,Orlando @ Brooklyn,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,Brooklyn,0,0,0,0,0,Orlando,0,0,0,0,0
2381,2381,2017-10-20,Portland,Indiana,Portland @ Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,Indiana,0,0,0,0,0,Portland,0,0,0,0,0
2382,2382,2017-10-20,Sacramento,Dallas,Sacramento @ Dallas,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Dallas,0,0,0,0,0,Sacramento,0,0,0,0,0
2383,2383,2017-10-20,Utah,Minnesota,Utah @ Minnesota,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota,0,0,0,0,0,Utah,0,0,0,0,0
2384,2384,2017-10-21,Dallas,Houston,Dallas @ Houston,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Houston,0,0,0,1,0,Dallas,1,1,0,0,0
2385,2385,2017-10-21,Detroit,New York,Detroit @ New York,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,0,0,0,0,0,Detroit,1,1,0,0,0
2386,2386,2017-10-21,Golden State,Memphis,Golden State @ Memphis,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Memphis,0,0,0,1,0,Golden State,1,0,0,0,0
2387,2387,2017-10-21,Indiana,Miami,Indiana @ Miami,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miami,0,0,0,1,0,Indiana,1,1,0,0,0
2388,2388,2017-10-21,Oklahoma City,Utah,Oklahoma City @ Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Utah,1,1,0,0,0,Oklahoma City,0,0,0,0,0
